"","Label","Marker"
"16","Adipoce stem and progenitor cells-15","Bmper, Fbn1, Gm16263, Gm26070, Htra3, Rxfp2, Prrx2, Plac9a, Adamts16, Fst"
"17","Adipoce stem and progenitor cells-16","Vit, Gabra3, AI607873, Gabre, Hpca, Ccl11, Gxylt2, Adm, Srpx, Prdm8"
"18","Adipoce stem and progenitor cells-17","C7, Clec3b, Gabra3, Pi15, Gfpt2, Gm9947, Pamr1, Dchs2, Gm11536, Ggt5"
"19","Adipoce stem and progenitor cells-18","Arsi, Prrx2, Arsj, Hhipl1, Clec3b, Fkbp10, A730056A06Rik, Hoxc9, Gm12796, Cd248"
"20","Adipoce stem and progenitor cells-19","Hoxc10, Rspo1, Gm11744, Zbtb14, Gm6878, Gm12796, Rab32, Has2os, Gm11146, A830012C17Rik"
"21","Adipoce stem and progenitor cells-20","PCDHGB6.1, Olfml2b, Sertad4, Medag, Prrt2, Figf, Clec3b, Ccl11, Agtrap, Gpr173"
"22","Adipoce stem and progenitor cells-21","Loxl1, Cd248, Pla1a, Gm10369, Gm12796, Igfbp6, Clec3b, RP24-192L21.1, Adamts16, Gm6938"
"23","Adipoce stem and progenitor cells-22","Col6a5, Gas7, Tnfaip6, Ptx3, Duox1, Daglb, Disp1, Mrgprg, Gm13023, Ackr3"
"24","Adipoce stem and progenitor cells-23","Gm14616, Fam132b, Cdh15, RP24-142E6.2, Gm13703, Chrdl2, RP23-41F9.2, Crlf1, Myf5, Gm12744"
"25","Adipocytes-0","Afap1, Pfkfb3, Mmd, B430119L08Rik, 1700037H04Rik, Olfr734, 2310014F06Rik, P2rx6, Tusc5, Gpr156"
"26","Adipocytes-1","Ankef1, Zfp771, Grhl1, Htra3, Hprt, Olfr731, WI1-1981I9.3, Topaz1, Tmem53, Nat8l"
"27","Adipocytes-2","Fbxo31, Gm20257, Syne3, Kirrel, RP24-117F4.2, Slc36a2, RP24-499I2.1, Arxes2, D130007C19Rik, RP23-411M4.2"
"28","Adipocytes-3","Prkar2b, Pfkfb1, Acvr1c, Mfng, Aifm2, Abcd2, Ptpn4, Vnn3, 4933406I18Rik, Bnip3"
"29","Adipocytes-4","Eepd1, Timp4, Gm4876, Rcan2, Lctl, Bscl2, Lhx8, Gstz1, 1700047G03Rik, Gm15519"
"30","Adipocytes-5","Nnat, Ruvbl2, Chst1, Rhbdd2, Grhl1, Oxnad1, Frmd8os, Stx1b, Chst12, Gm26542"
"31","Adipocytes-6","Ghr, Adam12, Olfr1033, Slc1a5, Itga7, Chrdl1, Znrf2, St6galnac5, Tmem120b, Apol6"
"32","Adipocytes-7","Olfml1, 2810407A14Rik, Bcl2l13, Lyrm5, Josd2, RP24-252G15.3, RP24-367P22.1, Gm14403, Cacng7, Pctp"
"33","Adipocytes-8","Tenm4, Fmr1, 4931406P16Rik, Lhfpl2, Apex2, Arhgap23, Cd1d1, Fam20c, Gm24505, RP23-274C16.4"
"34","Adipocytes-9","A530016L24Rik, Rasd1, Pnpla2, Cbx4, F3, Gm15414, Smo, BC035947, Ccdc69, RP23-411M4.1"
"35","Adipocytes-10","Cmklr1, RP24-216P6.1, Ddx27, Cirh1a, Nudt2, RP24-117F4.2, Hcar1, Ppm1m, Olfr735, A530020G20Rik"
"36","Adipocytes-11","Me1, Acaca, Slc27a1, Cidec, Rai2, Serpine1, Zfp423, Gm16163, Tusc5, Twist2"
"37","Adipocytes-12","Ube2q2, Gm12729, Tpte, Kirrel, D3Ertd254e, Gm15406, Proca1, Gm11508, 2700069I18Rik, Gm15723"
"38","Adipocytes-13","Sik2, Svep1, Il15ra, Lep, Prps1, Aacs, Gm5627, Gm12421, 2310014F06Rik, Phgdh"
"39","Adipocytes-14","Acacb, Nabp1, Retn, Lgals12, Gm13091, Nos3, Sumf2, A730017L22Rik, Ap4m1, Fads3"
"40","Adipocytes-15","Ar, Mc2r, Slc1a3, Phka2, Gnai1, Ofcc1, Rbms2, Inca1, Ltbp3, Gm454"
"41","Adipocytes-16","Tmem29, Gm20532, Gnal, Exd1, Opn3, Lipe, Gemin2, Gm14634, A530020G20Rik, Slc25a17"
"42","Adipocytes-17","Zeb2, Nrg4, Tsc22d3, Art3, Slc7a10, Fbxo21, Fuz, Adrb3, Aarsd1, Bcat2"
"43","Adipocytes-18","Fam13a, Pla2g16, D730045B01Rik, Apcdd1, Sgce, Bbc3, Gm16731, Poln, Mbtps2, Arx"
"44","Adipocytes-19","2610020H08Rik, 2310010J17Rik, RP24-117F4.2, Cd1d1, Slc43a1, Ecd, Gm12236, Necap1, Gm10248, Gm26782"
"45","Adipocytes-20","Fry, Dnajc15, Tspan12, Got1l1, Gm28874, Zkscan8, B430119L08Rik, 2610016A17Rik, Mir6392, Gm16845"
"46","Alox15 positive cells-0","Alox15, Padi4, Tgfb2, Gm13986, Wnt2, Laptm5, Slpi, 4930455G09Rik, Gm4035, Gm29397"
"47","Ascending thin limb of LOH cells-0","4930407G08Rik, Tbpl2, Mir99b, Nr2e3, 1700016C15Rik, C330013F16Rik, Tmed1, Wnt8b, Frzb, 1700095A13Rik"
"48","Ascending thin limb of LOH cells-1","Uncx, Gm12451, Gm14546, Gm20395, Gm15471, AU015336, Hoxa10, Gm16136, Epor, Gm13420"
"49","Ascending thin limb of LOH cells-2","Tbpl2, Wnt7b, Gm26574, Nr2e3, D630014O11Rik, RP24-288J3.2, Gm20395, Ankrd54, Ccl1, Rnf183"
"50","Ascending thin limb of LOH cells-3","RP24-92E18.2, 9230020A06Rik, Uncx, Tacstd2, Gm13420, Dcaf12l1, RP23-123O12.2, Klhdc8a, Gm14488, C330013F16Rik"
"51","Ascending thin limb of LOH cells-4","Slco4a1, Gm7168, Gm2822, RP23-404C21.2, Arl4d, Gm16310, Rnf183, Uncx, 1700092M07Rik, Tal2"
"52","Ascending thin limb of LOH cells-5","4930407G08Rik, Nr2e3, Tbpl2, 4930562F07Rik, Gm14547, Gm11146, RP23-349L18.1, Gm16133, C330013F16Rik, 1700016C15Rik"
"53","Ascending thin limb of LOH cells-6","Tbpl2, Slc4a11, Ccpg1os, Nr2e3, 4930407G08Rik, D630014O11Rik, C330013F16Rik, RP23-245C4.1, Gm16311, Gm23645"
"54","Ascending thin limb of LOH cells-7","Gm6846, Clcnka, Gm28230, Gm6878, Wnt10a, Cldn19, Gm16311, Gm13075, Cldn16, RP23-337F12.2"
"55","Ascending thin limb of LOH cells-8","Gm15353, Tbpl2, Nr2e3, Gm15650, Mir5124a, 3110083C13Rik, Erich2os, 4930407G08Rik, Wnt8b, Pantr2"
"56","Ascending thin limb of LOH cells-9","Angpt2, Gm15353, Nr2e3, Pno1, Tbpl2, RP23-245C4.1, Gm15410, Wnt8b, 4930407G08Rik, 1700016C15Rik"
"57","Ascending thin limb of LOH cells-10","Tbpl2, 4930407G08Rik, Lrrc8dos, RP24-568B16.4, 1700039E22Rik, Nadk2, 1700016C15Rik, Gm26704, RP23-191P7.1, Gm26912"
"58","Ascending thin limb of LOH cells-11","4930407G08Rik, Nr2e3, Tbpl2, RP23-413M3.5, Gm29337, Uncx, 4933408B17Rik, RP23-239I17.3, RP24-288J3.2, Gm28042"
"59","Ascending thin limb of LOH cells-12","Gm26225, 4930407G08Rik, RP24-176F12.6, Nr2e3, Uncx, Bok, Tbpl2, 1700016C15Rik, RP24-288J3.2, Rnf183"
"60","Asic2 positive cells-0","Gm15404, Sept6, B230208H11Rik, 4833403I15Rik, Gm23039, Ctxn3, 1700120O09Rik, RP24-142E6.4, Pear1, Foxd1"
"61","Asic2 positive cells-1","Lrrc30, Gm14812, Gjb5, Tpt1-ps3, RP24-501N9.1, Tex38, 1700120O09Rik, Cdnf, Plekha4, Nthl1"
"62","Asic2 positive cells-2","Gm14055, 1700013H16Rik, Hoxc5, 0610025J13Rik, Sfrp5, Wdr86, Arl4d, Gm11380, Igdcc3, 1700120O09Rik"
"63","Asic2 positive cells-3","Mfap5, Kirrel2, Fxyd6, Cldn22, Gm26626, Foxd1, Gm28320, Mybph, Fam186b, Fzd2"
"64","Asic2 positive cells-4","Cpxm2, Gjb2, Gm6614, Loxl4, A730056A06Rik, Gm12153, Rspo3, Kcnu1, Gm12042, Hic1"
"65","Asic2 positive cells-5","Gm4804, Pcdh19, Shisa3, Gm9877, Gm10735, Meox2, Gm3055, 8430436N08Rik, Wnt6, Gm26631"
"66","Asic2 positive cells-6","Olfr1387, Gm17555, Gm15551, RP23-191A19.2, Gm13990, Klhl31, Olfr606, Olfr307, 4930465M20Rik, Gm7618"
"67","Asic2 positive cells-7","Gm24037, Mpl, Gm7456, Gm10410, Olfr1043, Gm15844, Gm14812, Olfr822, Olfr1426, Gm28076"
"68","Asic2 positive cells-8","Sfrp5, Gm29609, Cldn1, Hcn4, Efnb3, Gm2108, RP24-424K5.3, Lypd2, Cnksr2, Olfr1362"
"69","Asic2 positive cells-9","Gm29666, Cnga4, Nprl2, Psg26, Gm13717, Gm11733, Gm12305, Naalad2, Zfp839, Gm12276"
"70","Astrocytes_1","Olfr1513, A330087D11Rik, Olfr287, Gm9925, Ntsr2, Gm266, Gm20515, Gm14036, Olig2, RP24-267G24.1"
"71","Astrocytes_2","Grm3, Celrr, RP24-461L18.2, 4933427I22Rik, Dbx2, Rpe65, Ntsr2, Spata3, Pou3f4, RP24-141F9.2"
"72","Astrocytes_3","Slco1c1, Gm14450, Gm13326, 3110082J24Rik, Gm13322, Nwd1, Ntsr2, Mir100, Gm266, Rpe65"
"73","Astrocytes_4","Olfr1510, Gm4491, Olfr1511, Olfr1513, Etnppl, Olfr287, Ntsr2, Celrr, Olfr1512, Gm20515"
"74","Astrocytes_5","RP24-135P4.2, RP24-461L18.2, Taf7l, AW047730, Gm20700, Gm28064, Gm14036, RP23-3H19.1, RP23-184I13.1, Rpe65"
"75","Astrocytes_6","RP23-348C6.5, RP23-428P5.4, Gm13325, Gm4491, Gm13322, Olfr287, 1700060O08Rik, Gm11274, Ntsr2, Gm13872"
"76","Astrocytes_7","Gm13325, Gm13322, Birc7, Mir1251, Siah3, Dbx2, AW047730, Nr2e1, Foxm1, Gm29260"
"77","Astrocytes_8","Gm3764, H3f3a-ps2, Nr2e1, Olfr1510, Btbd17, Gm5089, Nwd1, RP24-439O10.3, 1810059C17Rik, 2900052N01Rik"
"78","Astrocytes_9","Slc1a2, Gfap, Arhgef4, Myoc, Ncan, A2m, Ptchd2, Kcne1l, Ntsr2, Fabp7"
"79","Astrocytes_10","Olfr1097, RP23-428P5.4, AI646519, Gm12697, Gm13322, Gm29326, Olig2, Ntsr2, Olfr287, A330087D11Rik"
"80","Astrocytes_11","Rpe65, 4930505G20Rik, Gm13322, Gm28168, Gm12494, Gm13325, Gm8546, Nr2e1, Hes5, Six3os1"
"81","Astrocytes_12","Gm13325, Gm8325, Cbln3, Krt24, Six3os1, Btbd17, Nr2e1, AW047730, Spata3, Gm9017"
"82","Astrocytes_13","Gm13325, Gm17907, RP24-267G24.1, Gm12494, Ntsr2, Gm27151, Rpe65, Atp1b2, Nr2e1, Olfr1511"
"83","Astrocytes_14","Slc6a11, Gm13326, Gm13325, Zic3, Gm266, Gm13322, H3f3a-ps2, Dbx2, Ntsr2, Nwd1"
"84","Astrocytes_15","Gm4491, Gm13325, Gm13322, AW047730, Olfr1511, Nr2e1, Olfr1512, Rpe65, Celrr, A330087D11Rik"
"85","Astrocytes_16","Ntsr2, Foxh1, RP24-141F9.2, 9430041J12Rik, Gm11627, Olfr287, Gm26843, RP24-267G24.1, Gareml, Hepacam"
"86","Atrial cardiomyocytes-0","Fndc5, Mlana, BC043934, Cilp2, Gm29481, Traj43, Nkx2-5, Nrtn, Hhatl, Opn4"
"87","Atrial cardiomyocytes-1","Tbx5, Lgr6, Scd4, Mybphl, Gm14890, Sbk3, Gm10435, Mhrt, Nudt8, D830013O20Rik"
"88","Atrial cardiomyocytes-2","Kcnj3, Csrp2, Rrad, Lrrc3b, A330102I10Rik, Opn4, Gm10435, RP23-61D6.3, Csdc2, Gm26487"
"89","Atrial cardiomyocytes-3","Gm12381, Gm13481, Adamts8, Ctgf, Xirp1, Tecrl, RP24-244I20.2, Trim55, Inha, Kcnn1"
"90","Atrial cardiomyocytes-4","Obsl1, Gm12409, Mtl5, Gm26984, AU023070, Gm11899, Nppb, Gm29481, Gm14418, Gm15626"
"91","Atrial cardiomyocytes-5","Bmp10, Pam, Dkk3, Mylk3, Myl4, Gm26672, Srl, Myl7, Scd4, Gm13054"
"92","Atrial cardiomyocytes-6","Mtus2, Synpo2l, Cilp2, Gm15943, Nlrp10, Gm16262, Popdc2, Doc2g, Gm13054, Tet1"
"93","Atrial cardiomyocytes-7","Mybphl, Sbk3, Gpc1, Hspa1l, Gm9939, Ccdc8, Lrrc10, Nr2f1, Myl7, 4933431K23Rik"
"94","Atrial cardiomyocytes-8","Zfp521, Gja3, Cntn2, Gm13479, Mir690, Gucy2e, Fndc5, Gm15626, RP24-281O20.5, Gm11899"
"95","Atrial cardiomyocytes-9","Fgf12, Tnni3k, Epha4, Angpt1, Gm13054, Mtl5, Mir690, Mlana, Gm5566, Gm13999"
"96","Atrial cardiomyocytes-10","Gm24474, Ptcra, Gm10364, Fitm2, RP23-391E12.2, Gm14264, Mir208a, Doc2g, Gm12409, Cilp2"
"97","Atrial cardiomyocytes-11","Kcnj5, Fsd2, Cmya5, Osbp2, Gm25373, Hspb3, Gm20445, AU023070, Itgb1bp2, Gm26984"
"98","Atrial cardiomyocytes-12","2310039L15Rik, Tecrl, Gm26760, Fbxl22, Mir208a, D830013O20Rik, Lrrc3b, 2610204G07Rik, Mir490, Gm11899"
"99","Atrial cardiomyocytes-13","Smpx, Cox6a2, A530013C23Rik, Sgcb, Gm15626, Gm26487, Olfr1393, 4921504A21Rik, Gm14419, Gm13482"
"100","Atrial cardiomyocytes-14","Ankrd1, Nppa, Sbk2, Bves, WI1-1616M8.3, Gm11734, Map10, Popdc2, 2310007L24Rik, B230110C06Rik"
"101","Atrial cardiomyocytes-15","Angpt1, Gm25768, Gm10435, Gm29015, Ptges3l, RP24-281O20.5, RP23-3H19.1, Gm11734, Mlana, Srpk3"
"102","Basal cells-0","Fmo6, Gm13198, RP23-383N15.1, Gpr87, Jag2, Ptges3l, Phxr4, Lemd1, Ifi202b, 4631405K08Rik"
"103","Basal cells-1","9330104G04Rik, Morc1, Dlk2, Chrna1os, Lemd1, Six1, Pax9, Plag1, Six2, Crlf1"
"104","Basal cells-2","Tbx1, A230072E10Rik, Trpv4, Gm20449, Dsc3, G630030J09Rik, Dapl1, Eya2, Sox21, Hmbs"
"105","Basal cells-3","4631405K08Rik, Dlk2, Gm7831, Upk3bl, Gm15371, Crlf1, Sh3bp1, Otx1, Ifi202b, Gm19353"
"106","Basal cells-4","Pax9, Anxa1, Lemd1, 4631405K08Rik, Crlf1, Mettl13, Gm13389, Hcar2, Gm11734, Gm14861"
"107","Basal cells-5","Gm22455, Gm9918, Mesp1, RP24-120B18.6, Aipl1, Gm16314, Gm20796, Mir3074-1, E330021D16Rik, Gm20441"
"108","Basal cells-6","9430065F17Rik, Krt31, 4930444G20Rik, Sp6, Gm15873, RP24-482A24.12, Trmt112, RP23-303A11.1, Gm13473, Gm4675"
"109","Basal cells-7","RP24-313N2.3, Olfr1020, 9530052C20Rik, Cabs1, Gm5754, Trav15-1-dv6-1, Olfr371, Mir6368, Frmpd1os, Ifi202b"
"110","Basal cells-8","Msln, Ccl20, 3100003L05Rik, Plekhg1, Plekhs1, Alox12e, Cyp2a5, Gm5147, Cr2, 4930520O04Rik"
"111","Basal cells-9","Gm20843, Gm11856, 4930524O08Rik, Gm12050, Gm26991, Gm13418, Mir335, 4933427E11Rik, Gm15376, Kctd11"
"112","Basal cells-10","Fetub, Ces1h, Tiam1, Ifitm10, Ecm1, Calcoco1, Ces2f, Rdh12, Gm13494, Tmem40"
"113","Basal cells-11","Gm13940, Mir6898, Gm12959, Gm22023, Lin9, Gm15298, Gm13670, Psrc1, Gm12090, Gemin4"
"114","Basal cells-12","Vmn1r125, Gm11629, Gm26968, Gm24457, Gm15916, Hcar2, Rnu12, Ntf5, Gm14627, C230052I12Rik"
"115","Basal cells-13","RP23-273O23.2, Ighj1, Gm12985, 4930453H23Rik, Gm1141, Gm15899, 1700128A07Rik, Gm10286, RP23-124B2.3, Ccdc121"
"116","Basal cells-14","Mir7093, Gm12115, Gm14472, 4930515B02Rik, Gm15013, Gm15642, Gm5776, RP23-293I7.3, Agtr2, Gm13768"
"117","Bergmann glia_1","Gm14041, Gm26703, AW047730, Gm5089, Gareml, Btbd17, Gm266, A2m, Paqr6, Zic4"
"118","Bergmann glia_2","Gm11274, Gm5089, A2m, Olfr461, 4933411O13Rik, Gareml, Fhad1os2, RP24-186G5.2, Zic4, Ntsr2"
"119","Bergmann glia_3","Gm25879, Gm15129, Gm24875, Olfr1202, Gm17091, Gm14041, Gm12013, Gm15963, Gm13869, Gm5065"
"120","Bergmann glia_4","4930442H23Rik, Gm5089, RP23-186M2.1, A2m, Msx2, Btbd17, Gm15584, Alms1-ps2, Gpr37l1, Gareml"
"121","Bergmann glia_5","Luzp2, Gm3764, Nwd1, Rgsl1, Actbl2, A2m, A830019P07Rik, RP23-340C13.4, Gm5089, 6430503K07Rik"
"122","Bergmann glia_6","A2m, Cd70, Birc7, Gm5089, AW047730, Gm28064, Tex36, Alms1-ps2, Paqr6, Ucma"
"123","Bergmann glia_7","Gm12532, A2m, Gareml, Olfr461, Gm5089, 6430503K07Rik, RP23-340C13.4, Gm13369, Zic4, Gm11274"
"124","Bergmann glia_8","Gm5274, 4930555O08Rik, Gm25986, Gm22337, Gm14982, Gm23741, Rbm6-ps2, Gm11509, Gm12697, Olfr1427"
"125","Bergmann glia_9","Gm28747, Actbl2, Atp1b2, Gm12697, Gm29521, RP23-340C13.8, Gm5089, A2m, Birc7, Hepacam"
"126","Brown adipocytes-0","Ucp1, RP23-2K13.1, Map2k3os, Gm17067, Gm14104, Adig, Katnal1, Mir6392, Nudt15, Gm10032"
"127","Brown adipocytes-1","Dio2, Slc36a2, Otop1, Gm14832, Cops6, Cbr4, Nudt15, Ifi27, Ddt, Gm16183"
"128","Brown adipocytes-2","Slc7a6, Plet1os, Otop1, RP24-150H14.3, Gm10032, 3930402G23Rik, Cib2, Gtf2h4, A530076I17Rik, Gm9899"
"129","Brown adipocytes-3","Col27a1, Xrcc6, RP24-361E12.1, 4930534D22Rik, RP24-96D10.4, Gm14093, Plin5, Ube2q2, Letmd1, Timm50"
"130","Brown adipocytes-4","Slc25a42, Slc36a2, Nudt15, Ucp1, Pnldc1, Gm16537, 1700112J16Rik, B430212C06Rik, Plin5, Fastkd1"
"131","Brown adipocytes-5","Gm11769, Trim67, Tpte, 1810021B22Rik, Gm10032, RP24-393F8.2, Ddx49, Slc36a2, Mif4gd, Otop1"
"132","Brown adipocytes-6","Gmpr, Adra1a, Ccdc69, Gm10032, Otop1, Gm12981, Cib2, P2rx5, Nudt15, Sox5it"
"133","Brown adipocytes-7","Cpt1b, Ifi27, Cib2, Nudt15, Slc25a19, C230035I16Rik, Otop1, 1810021B22Rik, Gm9961, A530076I17Rik"
"134","Brown adipocytes-8","Cpt1b, Adra1d, Acrbp, Otop1, Gm21685, Nudt15, A530076I17Rik, Pmm1, Gm15471, Gm16299"
"135","Brown adipocytes-9","Gm15241, Gm10032, Tectb, Nudt15, B430212C06Rik, Arl4aos, Cox8b, Nxt1, Gpr135, Otop1"
"136","Brown adipocytes-10","Mmd2, Ucp1, Gm3211, Atp5sl, Gm10032, Cpt1b, Nudt15, Gm12098, Sh2b2, Otop1"
"137","Brown adipocytes-11","Slc36a2, Rnf182, Adig, Otop1, Acad12, Gm14093, Gm10032, Gm9899, A330032B11Rik, Dus4l"
"138","Brown adipocytes-12","Gm15241, Gm15713, Gm10032, Gm16183, Cpt1b, Fam71d, Otop1, Nudt15, B430212C06Rik, Gm9899"
"139","Brown adipocytes-13","Kcnk3, Dhx34, Plin5, Gm10032, Gm14764, Sh2b2, Otop1, Acad10, Apmap, Gm13474"
"140","Brown adipocytes-14","RP23-411P10.3, Fam186a, Mir7027, Otop1, Gm14392, Gm10032, Fam195a, Tarm1, Slx1b, Gm9887"
"141","Brown adipocytes-15","6430571L13Rik, 2310069B03Rik, Otop1, Cmc2, Pnldc1, Gm24379, Mir5125, Gm10767, Gm10570, Gm10032"
"142","Brown adipocytes-16","Gm25834, Pank1, Nudt15, B430212C06Rik, Tecpr2, Otop1, Sh2b2, Gm6493, Zfp691, Isca2"
"143","Brown adipocytes-17","Cpt1b, Mmd2, Mir6392, Gm9899, Rnmtl1, Crls1, Dbhos, 4930505N22Rik, Srms, Tpte"
"144","Brown adipocytes-18","Pnpla3, Rnmt, Sfxn5, Gm15471, Gm17067, Gm10032, RP23-250O14.1, Gm14235, Plet1os, Slc25a17"
"145","Brown adipocytes-19","Gm10032, Gm10941, Oxnad1, Slc25a19, Mir7578, 4930583K01Rik, Letmd1, Apmap, Ndufs5, Gm13610"
"146","Cacna1b positive cells-0","Cyp2a5, 4930594M17Rik, Mir698, Cyp2c53-ps, Trib3, RP24-242E11.1, Gm11963, 2310034O05Rik, RP24-167M10.4, 1700019B03Rik"
"147","Cacna1b positive cells-1","2310034O05Rik, Cxcl3, Slc25a17, Gm14936, Sun5, 4930594M17Rik, Dlx4, 1700092C10Rik, Gm24086, Gldnos"
"148","Cacna1b positive cells-2","Limd2, Ppp1r3g, C230024C17Rik, 5330439K02Rik, Trib3, 2310034O05Rik, C8g, Gm14936, 4930595D18Rik, Srrd"
"149","Cacna1b positive cells-3","Ngf, Lcn2, Serpina1b, Ccbl1, Igfbp1, Ocstamp, Apom, Serpina12, Vmn2r3, Apoc2"
"150","Cacna1b positive cells-4","Gpc3, Gm8893, 2310034O05Rik, Serpina12, Gm14936, Gm11752, Xlr3a, Gm15408, 4930517O19Rik, Sun5"
"151","Cacna1b positive cells-5","Gstp2, Fgf21, Gm14936, Sun5, Vmn1r58, Tmem180, Lepr, Tgtp1, Trib3, Gm28818"
"152","Cacna1b positive cells-6","Mug2, Cyp2d11, Gm16548, RP24-317P24.1, Gm15622, Gm9435, C8b, Repin1, Serpina12, Psmg2"
"153","Cacna1b positive cells-7","1700084C01Rik, Pde6c, Olfr1442, Cxcl3, Fgf21, Gm8883, Etv2, Gm8878, Ocstamp, 2310034O05Rik"
"154","Cacna1b positive cells-8","Blvrb, Gm12499, Rpl23a-ps1, Zik1, Gm12118, RP24-242P4.5, Dnph1, 1700061E18Rik, 1700028B04Rik, Gm29387"
"155","Cacna1b positive cells-9","Gm26048, RP23-213K18.2, Gm10564, Cyp2d41-ps, Gm6429, Gm25812, Gm11684, Gm20420, Lepr, Cxcl3"
"156","Cacna1b positive cells-10","Cldn14, Klrb1b, Vmn1r45, Gm10145, Gm11365, Mir3073a, Gm14936, Vmn1r58, Gm26791, Gm6023"
"157","Cerebellum granule neurons_","Gm28652, RP23-333L19.2, Gm19582, Gm11634, Barhl2, Cbln3, Gabra6, Gm15609, Cbln1, 2610035F20Rik"
"158","Cerebellum granule neurons_1","RP23-299N6.2, Olfr458, Mir466q, Barhl2, Gm10837, Gm28652, Gabra6, Zfp575, Cbln3, Ripply2"
"159","Cerebellum granule neurons_2","RP23-294I9.3, Gabra6, Gm29388, A330070K13Rik, Gm19932, Gm11583, Gm11985, Cbln3, B020018G12Rik, Cbln1"
"160","Cerebellum granule neurons_3","Cbln3, Gm27016, Mir344c, Gabra6, Gm11985, Cbln1, Pcdha3, Fat2, Gm15577, Gm12116"
"161","Cerebellum granule neurons_4","D030025P21Rik, Gm12116, Gabra6, Rpl15-ps2, Cbln3, Mab21l1, Zic2, En2, Zic1, Gm16582"
"162","Cerebellum granule neurons_5","Cbln3, Gm12116, Gabra6, Usp46os2, Gm29214, RP23-415F2.1, Cbln1, 1700010K23Rik, Gm16958, Grin2c"
"163","Cerebellum granule neurons_6","Gabra6, Barhl2, Cbln3, En2, Gm26543, Prss52, Gm12116, Zic5, Gm15735, 4930480K15Rik"
"164","Cerebellum granule neurons_7","Ccdc184, Zic2, RP23-349L18.2, Cbln3, RP24-116C1.9, Gabra6, Ankrd34a, Neurod2, Camk2n2, Gm17477"
"165","Cerebellum granule neurons_8","Gm15573, Gm28652, Atoh7, Gm10837, Gm19582, Gabra6, RP24-383H12.2, Cbln3, Barhl2, Gm11985"
"166","Cerebellum granule neurons_9","Gabra6, Olfr455, Gm16044, Gm19815, 2610035F20Rik, Ripply2, Gm22738, Zic1, Cbln3, Prss52"
"167","Cerebellum granule neurons_10","Gm10837, Cbln3, Tmem210, Gabra6, Cbln1, Gm12116, En2, Gm16227, Gm15520, Bhlhe22"
"168","Cerebellum granule neurons_11","Mkrn1-ps1, Olfr458, Olfr457, Barhl2, Gabra6, Gm11985, Cbln3, 2610035F20Rik, Fgf22, Kcnf1"
"169","Cerebellum granule neurons_12","Gm24729, Gabra6, Barhl2, Zic5, D030025P21Rik, Uncx, Cbln3, Gm16342, Cbln1, Zic1"
"170","Cerebellum granule neurons_13","Olfr457, Gabra6, Gm15425, Gm11985, Gm2087, Gm7353, Cbln3, 4930449A18Rik, Gm12116, En2"
