"","Label","Markers"
"26","Basal Keratinocyte","Krt5, Krt14, Cdh3, Krt17, Pou2f3, Mir205hg, Pkp1, Irx4, Dsc3, Tspear"
"27","Biliary Epithelial","Onecut1, Onecut2, Prox1, Tm4sf4, ccdc198, Cd200l1, Kif12, Slc28a3, Spp1, Habp2"
"28","Bipolar Precursor","Vsx2, Neurog2, Foxn4, Rax, Pkib, Ascl1, Tfap2d, Neurod1, Otx2, Ankrd33b"
"29","Bladder Urothelial","Upk1b, Upk1a, Pparg, Upk2, Gsdmc2, Fer1l4, Upk3a, Gsdmc3, Sprr1a, Syt8"
"30","Border-Associated Macrophage","Lyve1, F13a1, Msr1, Pf4, Mrc1, Fcrls, Ms4a4a, Ms4a7, Ms4a6d, C1qc"
"31","Border-Associated Macrophage (Ms4a8a+)","Timd4, Ms4a8a, Cd163, Ltc4s, Ccl6, Fcna, C1qa, C3ar1, C1qc, C1qb"
"32","Brain Capillary Endothelial","Slc2a1, Esrrg, Lrp8, Abcb1a, Vwa1, Cldn5, Ushbp1, Zfp366, Nos3, Adgrl4"
"33","Brain Pericyte","Atp13a5, Rgs5, Vtn, AU021092, Slc22a8, Slco1c1, Abcb1a, Foxf2, Lamc3, Foxq1"
"34","Branchial Arch Epithelium","Has2, Pax1, Pitx2, Barx2, Pax9, Trp63, Itgb4, Cdcp1, Grhl2, Fndc1"
"35","Brown Adipocyte","Ucp1, Acss1, Pdk4, Cidea, Adipoq, Aqp7, Plin4, Gm35552, Cidec, Plin5"
"36","Cajal-Retzius","Reln, Emx2, Eomes, Samd3, Tbr1, Trp73, Grm1, Slc17a6, Islr2, Slc4a10"
"37","Cardiopharyngeal Mesoderm","Isl1, Mef2c, Tbx1, Tlx1, Fgf10, Col26a1, Col13a1, Slit1, Eya1, Efna5"
"38","Cerebellar Purkinje","Car8, Skor2, Lhx1os, Lhx1, Gad2, Gad1, Cacng2, Atp1a3, Fstl5, Dner"
"39","Cerebellum-Related","Gdf10, Tnc, Pla2g7, Mir9-3hg, Gm29478, Cfap100, Cyp26b1, Gm5089, Zic4, Gm3764"
"40","Cholinergic Amacrine","Isl1, Chat, Pmfbp1, Slc6a11, Brinp2, Pax6, Gad1, Sv2c, Gpr37, Tfap2b"
"41","Chondrocyte (Atp1a2+)","Atp1a2, Zic1, Zic4, Lamc3, Ranbp3l, Slc6a13, Apod, Slc6a20a, Cldn11, Itgbl1"
"42","Chondrocyte (Otor+)","Atp1a2, Col2a1, Otor, Tbx18, Tll2, Apod, Ranbp3l, Crym, Cldn11, Scara5"
"43","Choroid Plexus","Ttr, Foxj1, Slco1c1, Sulf1, Or10k2, Gm29538, Dynlrb2, Gmnc, Cfap65, Kcne2"
"44","Ciliary Margin","Otx1, Gja1, Foxn4, Rax, Vsx2, Aldh1a1, Vax2, Mab21l2, Crhbp, Optc"
"45","Ciliated Nodal","Ttc21a, Foxj1, Mixl1, Noto, Cfc1, Gm572, Slc38a8, Gm7298, Sp5, T"
"46","Cochlear Hair","Ush1c, Ush2a, Ptprq, Gm21830, Gm1113, Pou4f3, Cabp2, Espnl, Grxcr1, Gm45261"
"47","Collecting Duct Intercalated","Atp6v1g3, Oxgr1, Gm12121, Bsnd, Atp6v1b1, Slc4a9, Rhcg, Atp6v0d2, Clcnkb, Muc20"
"48","Collecting Duct Principal","Hsd11b2, Aqp2, Gsdmc3, Wnt9b, Gsdmc2, Rhcg, Cdh16, Muc20, Scnn1g, Fxyd4"
"49","Committed Oligodendrocyte Precursor","Bmp4, Neu4, Mag, Gpr17, Enpp6, Zfp488, Bcan, Fa2h, Bcas1, S100a3"
"50","Cone Precursor","Thrb, Sall3, Crx, Rbp3, Pdc, Rp1l1, Gnb3, Cngb3, Crxos, Otop3"
"51","Conjunctival Goblet","Muc16, Ubqlnl, Serpinb11, Reg3g, Bpifa1, Muc5b, Adh7, Olfm5, Cyp2f2, Lypd2"
"52","Connecting Tubule","Aqp3, Aqp4, Aqp2, Tmem52b, Defb1, Trpv5, Clcnkb, Kcnj1, Rhcg, Cyp2j11"
"53","Conventional Dendritic","Itgax, Clec9a, H2-Aa, Slamf7, H2-Eb1, Ifi205, Phf11a, Cd74, H2-Ab1, Ciita"
"54","Corneal Epithelial","Pax6, Wnt2, Krt19, Muc21, Krt78, Tmprss11g, Sprr3, 2300002M23Rik, Prss27, Cnfn"
"55","Cortical Interneuron (Prox1+)","Prox1, Synpr, Gm29398, Gm5087, Eomes, Igfbpl1, Gm3764, Neurod1, Tmem178, Gria2"
"56","Corticofugal Neuron","Sox5, Bcl11b, Robo1, Srgap1, Umodl1, Gfy, E330012B07Rik, Calr4, Tmprss6, Smim35"
"57","Cranial Motor Neuron","Tbx20, Isl1, Chat, Phox2b, Slc10a4, Lhx4, Slc5a7, Fam163a, Ptprn, Clvs1"
"58","Deep-Layer Neuron","Bcl11b, Fezf2, Tbr1, Neurod6, Neurod2, 6530403H02Rik, 3110039M20Rik, Foxg1, Eomes, Lhx9"
"59","Definitive Early Erythroblast (Cd36-)","Tspan8, Snca, Hbb-bs, Abcb4, Slc4a1, Kel, 6030468B19Rik, Tspo2, Cldn13, Apol8"
"60","Definitive Erythroblast (Cd36+)","Cd36, Gypa, Trim58, Gm13881, 9830132P13Rik, Sowaha, Ankrd36, Slfn14, Btnl10, 6030468B19Rik"
"61","Dental Epithelial","Enam, Dsc3, Ambn, Vwde, Tspear, Krt17, Col17a1, Sp6, Trp63, Krt14"
"62","Dermatome","Egfl6, Pax3, Sim1, Twist2, Tbx15, Glis1, Col6a3, Gxylt2, Col24a1, Fap"
"63","Dermomyotome","Pax7, Meox1, Meox2, Fap, Sim1, Pax3, Ism1, Col26a1, Ntn1, Tmem132c"
"64","Di/Mesencephalon GABAergic Neuron","Otx2, Slc32a1, Slc30a3, Pnoc, Lhx5, Lhx1os, Gad1, Lhx1, Gad2, Six3"
"65","Di/Mesencephalon Glutamatergic Neuron","Otx2, Slc17a6, Gm28526, Tfap2d, Mir217hg, Pou4f1, Lhx9, Chrna4, Klhl1, Srrm3"
"66","Diencephalon","Pax6, Otx1, Otx2os1, Gm20757, Wnt3, Otx2, Zic4, Wnt8b, Rfx4, Gm29478"
"67","Distal Convoluted Tubule","Slc12a3, Pvalb, Tmem52b, Clcnkb, Kcnj1, Tmem72, Cdh16, Cyp2j11, Rhcg, Emx1"
"68","Dorsal Root Ganglion Neuron","Avil, Scn11a, Isl1, Oprm1, Runx1, Scn10a, Ppp1r1c, Pirt, Prdm12, Prrxl1"
"69","Dorsal Telencephalon","Emx2, Bmp4, Wnt8b, Wnt3a, Lmx1a, Rspo2, Rspo1, E330013P04Rik, Gm5089, Rspo3"
"70","Early Chondrocyte","Sox9, Col2a1, Col11a2, Matn1, Acan, Susd5, Comp, Cnmd, Matn3, Col9a1"
"71","Endocardial","Tbx20, Cdh11, Npr3, Hand2, Gpr182, Tie1, Nos3, Mmrn2, Tek, Cdh5"
"72","Endothelium","Kdr, Pecam1, Cdh5, Ushbp1, Pcdh12, Robo4, Nos3, Zfp366, Tie1, Mmrn2"
"73","Enteric Neuron","Ret, Gfra1, Tlx2, Phox2b, Phox2a, Chat, Chrna3, Neurod1, Chrnb4, Hpca"
"74","Ependymal","Foxj1, Tm4sf1, Sntn, Gm29538, 2610028H24Rik, Gm12695, Tmem212, Dnali1, Ccdc153, BC051019"
"75","Extraembryonic Mesoderm","Cdx2, Hoxa10, Hoxc9, Mogat2, Pitx1, Hoxc8, Hoxd3, Bmp4, Hoxc4, Lin28a"
"76","Extraembryonic Visceral Endoderm","Ttr, Gata4, Rhox5, Sox7, Sox17, Triml1, Triml2, Tdh, Slc13a4, Slc7a9"
"77","Eye Field","Rax, Six3, Fgf15, Pax6, Vsx2, Cdh20, Pax2, Otx2, Adgrv1, Gldc"
"78","Facial Mesenchyme","Tfap2a, Tfap2b, Pax3, Alx1, Pax9, Prrx1, Ddr2, Cped1, Pdgfra, Col23a1"
"79","Fibroblast","Col1a1, Col1a2, Col5a1, Cd34, Pdgfra, Col6a6, Adamtsl3, Meox2, Tbx15, Fap"
"80","First Heart Field","Tbx5, Hcn4, Gata4, Nkx2-5, Mybpc3, Ankrd1, Cnn1, Myh6, Tnni3k, Kcnj5"
"81","Floorplate And P3 Domain","Shh, Phox2b, Nkx2-2, Foxa2, 9030622O22Rik, BC024139, Rfx4, Rp1, Vit, Dchs2"
"82","Foregut Epithelial","Muc1, Foxa2, Tff1, Anxa10, Agr2, Ern2, Bpifb1, Pga5, Ugt2b34, Cldn18"
"83","Foregut Mesenchyme","Barx1, Gdnf, Isl1, Foxp2, Bnc2, Meis1, Pdgfra, Robo1, Gpc6, Colec10"
"84","Gabaergic Cortical Interneuron","Lhx6, Lhx8, Dlx2, Nkx2-1, Dlx1, Gad1, Gad2, Slc6a1, Grik3, Cdh7"
"85","Gabaergic Neuron (After E13.0)","Slc32a1, Lamp5, Lhx1os, Gad1, Slc35f4, Rit2, Gad2, Tmem130, Olfm3, Gm38353"
"86","Gastrointestinal Smooth Muscle","Acta2, Mylk, Nkx2-3, Actg2, Cnn1, Tnn, Lmod1, 9330158H04Rik, Myh11, Myocd"
"87","Glomerular Endothelial","Tbx3, Sox17, Clec1a, Gimap4, Pcdh12, Robo4, Scn7a, Foxf1, Ace, Clec14a"
"88","Glutamatergic Neuron (After E13.0)","A230006K03Rik, Rit2, Klhl1, Gm38353, Olfm3, Slc17a6, Slc4a10, Gabrg2, Atp1a3, Ptpn5"
"89","Gonad Progenitor","Nr5a1, Akr1cl, Gm45889, Gata4, Wt1, Amhr2, Kctd14, C1qtnf7, 2610028E06Rik, Etnk2"
"90","Granular Keratinocyte","Krt1, Krt10, Cdh1, Lypd3, Sdr16c6, Gabrp, Dsc1, Dsg1a, Grhl3, Pkp1"
"91","Granulocyte","Hgf, Siglecf, Ccr3, Adgre1, A230098N10Rik, Mcpt8, Cd200r3, Prss34, Alox15, Grm6"
"92","Gut Epithelial","Apela, Krt8, Nepn, Rfx6, Cldn6, Foxa1, Hkdc1, Clic6, 9030622O22Rik, Ttc6"
"93","Gut Mesenchyme","Nkx2-3, Colec10, 1700018A04Rik, Irag1, Adamdec1, Pgm5, Hhip, Col6a4, Ptch1, Prdm6"
"94","Hematoendothelial Progenitor","Hhex, Etv2, Flt4, Grm6, Hapln1, Sox17, Ecscr, Egfl7, Esam, Arhgef15"
"95","Hematopoietic Stem (Cd34+)","Cd34, Prg2, Flt3, BC035044, Rgs18, Itgam, Mpo, Il18rap, Pld4, Tespa1"
"96","Hematopoietic Stem (Mpo+)","Mpo, Ms4a3, Ctsg, Olr1, Fcnb, Elane, Prss57, Clec5a, Ly6c2, Stfa1"
"97","Hepatic Mesenchyme","Reln, Lrat, Gdf2, Nr1h5, Sycp1, Adamts13, Colec10, Colec11, Gata4, Nr1h4"
"98","Hepatocyte","A1cf, Afp, Alb, Apoa2, Itih1, Ftcd, Serpina10, Agmat, Gys2, C8a"
"99","Hindbrain","Hoxa2, Fgf8, Mafb, Egr2, Gm5089, Cyp26b1, Rfx4, Pax3, Cdh20, Slc44a5"
"100","Horizontal","Sall3, Lhx1, Ebf1, Pmfbp1, Onecut3, Esrrb, Drd2, Scrt2, Onecut1, Mab21l2"
"101","Hypothalamic Sim1 Neuron","Pitx2, Otx2, Otp, Sim1, Prmt8, Tmem163, Onecut1, Myt1, Crb1, Dll3"
"102","Hypothalamus","Rax, Nkx2-1, Six3, Nim1k, Shc3, Gm32061, Lrp2, Sorcs1, Mir670hg, Adgrv1"
"103","Hypothalamus (Sim1+)","Sim1, Shh, 9030622O22Rik, Lrtm1, Pcdh8, Otx2os1, Rfx4, Gm32061, Dmbx1, Ttc6"
"104","Intermediate Neuronal Progenitor","Pax6, Tbr1, Eomes, Neurod6, Gm29260, Neurog2, 3110039M20Rik, Slc17a6, Nrn1, Lhx2"
"105","Intestinal Enteroendocrine","Nkx2-2, Chgb, Pyy, Sis, Gip, Ceacam20, Cd200l1, Rfx6, Cdhr5, Ms4a8a"
"106","Intestinal Goblet","Muc2, Agr2, Spink4, Defa24, Trim31, Guca2a, Anxa13, Gcnt3, Reg4, Ms4a8a"
"107","Iris Pigment Epithelium","Cdh18, Zic1, Tbx20, 4932438H23Rik, Gm1698, Trpm1, Defb9, Tyrp1, Gm47887, E130101E03Rik"
"108","Kupffer","Mafb, Adgre1, Marco, Timd4, Spic, Clec4f, Fcna, Cd300c2, Slc11a1, B430306N03Rik"
"109","Lens Epithelial","Cryba1, Crybb3, Gja8, Crygc, Gm28845, Cryge, Crygd, Crygn, Cryba4, Cryba2"
"110","Leydig","Insl3, Cyp17a1, Cst8, Gm2044, Hsd3b1, Nr5a1, Akr1cl, Ren1, Cyp11a1, Hao2"
"111","Limb Mesenchyme Progenitor","Tbx5, Tbx4, Lhx9, Lmx1b, Hoxa10, Prrx1, Tbx15, Ddr2, Cped1, Fgf10"
"112","Liver Sinusoidal Endothelial","Cd36, Gata4, Fam167b, Oit3, Gpr182, Gm36503, Dnase1l3, Btnl9, Gimap4, Clec1b"
"113","Lung (Eln+)","Eln, Sec14l3, Sftpa1, Sftpb, Rbpjl, Cass4, Nkx2-1, Ces1d, Sftpd, Fmo2"
"114","Lung Mesenchyme","Fmo2, Wnt2, Tbx4, Tbx5, C1qtnf7, Adh1, Tbx2, Svep1, Gucy1a1, Fgf10"
"115","Lung Progenitor","Foxp2, Mki67, Etv5, Nkx2-1, Cldn18, Rbpjl, Sftpb, Tinag, Myo5c, Lgi3"
"116","Lymphatic Vessel Endothelial","Prox1, Thy1, Reln, Mmrn1, Btnl9, Flt4, Ecscr, Cldn5, Ccm2l, Lyve1"
"117","Mast","Ptprc, Kit, Cd200r3, Tpsab1, Mrgprb2, Grm6, Gcsam, Mrgprb1, Adora3, Mcpt4"
"118","Megakaryocyte","Cd34, Tgfb1, Muc13, Slc22a3, Ptprcap, Mpl, Treml2, Tspan32, Vamp5, Mfsd2b"
"119","Megakaryocyte-Erythroid Progenitor","Pf4, Itgb3, Itga2b, Cd226, Treml1, Gp5, Tubb1, Ly6g6f, Gp6, F2rl2"
"120","Melanocyte","Pax3, Mitf, Kit, Slc45a2, Tyr, Dct, Pmel, Gpnmb, Cdh19, Trpm1"
"121","Meninges","Vtn, Mmp9, Kcnj8, Rgs5, Adap2, Abcc9, Lamc3, Slc38a11, Pde8b, Atp1a2"
"122","Mesodermal Progenitor (Tbx6+)","T, Gm45889, Hes7, Tbx6, Hoxb1, Foxb1, Wnt3a, Cyp26a1, Vwa2, Dll1"
"123","Mesothelial","Lrrn4, Upk3b, Muc16, Upk1b, Bnc1, Myrf, Wt1, Aldh1a2, Msln, Col6a6"
"124","Metanephric Mesenchyme","Osr1, Six2, Gdnf, Eya1, Wt1, Pax2, Hoxd11, Hoxd10, 2610028E06Rik, Pax8"
"125","Microglia","Sall1, Sall3, P2ry12, Tmem119, Fcrls, Siglech, Or5v1b, Trem2, Lair1, C1qb"
"126","Microvascular Endothelial","Irx3, Ntf3, Robo4, Gimap4, Fabp4, Clec1a, Tie1, Aplnr, Emcn, Zfp366"
"127","Midbrain","Pax2, 2610027F03Rik, Dmbx1, Otx2os1, Cnpy1, Otx2, Rfx4, Pax3, Ildr2, Pax5"
"128","Midbrain Dopaminergic Neuron","Otx2, Iqcj, Barhl1, Lmx1a, Slc17a6, Lmx1b, Myt1, Epha10, Pitx2, Clvs1"
"129","Midbrain-Hindbrain Boundary","En2, Pax2, Pax5, 2610027F03Rik, En1, Pax8, Cnpy1, Fgf15, Klhl14, Gm20757"
"130","Midgut/Hindgut Epithelial","Gata4, Onecut2, Nr5a2, Isx, Anxa13, Lypd8, Slc17a4, Cdh17, Myo7b, Clec2h"
"131","Monocyte","Itgam, Adgre1, Lilra6, Ly6c2, Tifab, Clec5a, Mcemp1, Sell, Ccr2, Klra2"
"132","Monocytic Myeloid-Derived Suppressor","S100a8, S100a9, Ly6c2, Cstdc6, Cd177, Stfa2l1, Cebpe, Wfdc21, Stfa2, Fcnb"
"133","Multiciliated Ependymal","Tmem212, Cdc20b, Ccdc67, Lrrc43, Dynlrb2, Cfap65, Daw1, Catip, Zfp474, Cfap221"
"134","Muscle Progenitor","Pax3, Myf5, Pax7, Cdh15, Lincmd1, C1qtnf3, Ano5, Fgfr4, 4930544I03Rik, Myog"
"135","Muscle Progenitor (Prdm1+)","Prdm1, Sox6, Myf5, Fgf6, Gjd4, Mstn, Lincmd1, Ppp1r3a, Tmem182, Cdh15"
"136","Myelinating Schwann","Mbp, S100b, Mpz, Cdh19, Atp10b, Sox10, Insc, Lgi4, Gfra3, Col20a1"
"137","Myelinating Schwann (Tgfb2+)","Tgfb2, Ltbp1, Cdh19, Phox2b, B020031H02Rik, Sox10, Fam184b, Hdnr, Adam12, Ednrb"
"138","Myoblast","Pax3, Mki67, Elmo1, Lincmd1, Musk, Myog, Cdh15, Fgfr4, Kcnk13, Atp2a1"
"139","Myofibroblast","Acta2, Col22a1, Vim, Des, Palld, Cacna1s, Klhl40, Myot, Art1, Sgcg"
"140","Myotube","Myh3, Mylpf, Myl4, Myod1, Lmod3, Lincmd1, Mylk4, Cacna1s, Mymk, Musk"
"141","Naive Retinal Progenitor","Ccnd1, Sox2, Vsx2, Rax, Foxn4, Six6, Fgf15, Nr2e1, Dkk3, Fzd5"
"142","Natural Killer","Klrk1, Il2rb, Klrd1, Klrc1, Klrb1b, Klra5, Klrc2, Klrb1c, Cd7, Ncr1, Gimap3"
"143","Nephron Progenitor","Mecom, Wnt4, Fgf8, Clec18a, Pax8, Hnf1b, Gm12576, Lhx1os, Uncx, Lhx1"
"144","Neural Crest (PNS Glia)","Dlx2, Foxd3, Sox10, Cdh19, Tfap2a, Erbb3, Pax3, Insc, Enpp2, Ednrb"
"145","Neural Crest (PNS Neuron)","Syt13, Shox2, Ptprr, Pcbp3, Ppp1r17, Ntrk1, Prdm12, Ppp1r1c, Cdhr1, Neurod1"
"146","Neural Progenitor (Neurod1+)","Mybl1, Cenpe, Aspm, Cenpf, Neurod1, 4930557F10Rik, Prmt8, St18, Clvs1, Pou3f2"
"147","Neural Progenitor (Ror1+)","Ror1, Eomes, Barhl1, Mir217hg, Gm5089, Kcnj6, Neurod1, Nrn1, Ppp2r2c, Gm29478"
"148","Neuron (Slc17a8+)","Slc17a8, Cryba2, Lmx1b, 9230102O04Rik, Crb1, Grik2, Scg2, Cacna2d1, Pdzrn4, Map2"
"149","NMP and Spinal Cord Progenitor","Cdx4, Epha5, Hes3, T, Fgf17, Hes7, Foxb1, Hoxb9, Hoxa7, Hoxc8"
"150","Nonsensory Cochlear Epithelium","Pou4f3, Ccer2, Atoh1, Gm5108, Hepacam2, Cck, Slc35d3, Aspa, Krt20, Ttc34"
"151","Notochord","Col11a1, Noto, Samd3, Avpr1b, T, Shh, Pkd1l1, Slc15a5, Lmx1a, Aplnr"
"152","Olfactory Bulb","Dach1, Ebf2, Six1, Lhx2, Acsm4, Ugt2a2, Gm43638, Sult1e1, Fmo6, Gm31698"
"153","Olfactory Ensheathing","Frzb, Runx1, Alx3, Alx4, Prss56, Foxd3, Npy, Fmo1, Fabp7, Zpld1"
"154","Olfactory Epithelial","Six1, Ugt2a1, Cyp2g1, Gm43638, Ugt2a2, Sult1e1, Aox2, Grhl2, Aldh1a3, Cldn6"
"155","Olfactory Pit","Lingo2, A930001A20Rik, Aldh1a3, Abca16, Fermt1, Pax6, Sorcs3, Grhl2, Egfem1, Sema3a"
"156","Olfactory Sensory Neuron","Fstl5, Dscaml1, Lhx2, Gfy, Mslnl, Ttll6, Tmprss6, Trim66, Gadl1, Ano2"
"157","Oligodendrocyte Progenitor","Cspg4, Pdgfra, Olig1, Bcan, Olig2, Bcas1, Gm38505, Vxn, Brinp3, Sox10"
"158","Optic Stalk","Vax1, Six6, Pax2, Cp, Gm29266, Shroom3, Nr2e1, Dab1, Tenm3, Zic4"
"159","Osteoclast","Ctsk, Mmp14, Dcstamp, Ocstamp, Atp6v0d2, Ccl9, Clec4a2, Spi1, Mmp9, Ccr1"
"160","Otic Epithelial","Pax2, Otol1, Oc90, Otog, Sox10, Cnmd, Ush1c, Lmx1a, Tectb, Arhgef38"
"161","Otic Sensory Neuron","Gata3, Vav3, Neurod1, Ppp1r17, Pou4f1, Pex5l, Kcnmb2, Isl1, Xkr7, P2rx3"
"162","Pancreatic Acinar","Ptf1a, Nr5a2, Onecut1, Cela2a, Amy2a1, Prss2, 2210010C04Rik, Prss1, Reg1, Serpini2"
"163","Pancreatic Islet","Neurog3, Pax4, Pdx1, Gm14616, Pyy, Iapp, Ins1, Ffar1, Rfx6, Kcnk16"
"164","Parasympathetic Neuron","Nos1, Tlx2, Vip, Chat, Phox2b, Chrnb4, Phox2a, Htr3b, Slc10a4, Slc5a7"
"165","Parathyroid Epithelial","Pth, Gcm2, Sycp2l, Rhcg, Casr, Spink8, Rasal1, Kl, Pax9, Pip5kl1"
"166","Pericyte","Des, Col1a1, Col3a1, Prrx1, Acta2, Rgs5, Robo4, Emcn, Ushbp1, Zfp366"
"167","Photoreceptor Precursor","Otx2, Prdm1, Crx, Cngb3, Gnb3, Rax, Epha8, Lhx4, Neurod4, Ankrd33b"
"168","Pineal Gland","Esm1, Bsx, 4930595L18Rik, Tph1, Gm44196, Gnb3, Crx, Cngb3, Frmpd2, Mogat1"
"169","Pituitary Gland","Pitx1, Pitx2, Pou1f1, Tbx19, Cga, Lhx3, Gh, Pomc, Scg2, Ptprn"
"170","Pituitary/Pineal Gland Progenitor","Gh, Pomc, Prop1, Lhx3, Six6, Six1, Lrba, Cthrc1, Pcdh9, Pitx2"
"171","Placodal Area","Six1, Eya1, Fgf8, Cldn6, Epcam, Esrp1, Grhl2, Bcam, Cdh1, Cdh3"
"172","Plasmacytoid Dendritic","Bst2, Siglech, Gm12253, Cd300c, Card11, Flt3, Kmo, Pld4, Cd7, Irf8"
"173","PMN Myeloid-Derived Suppressor","Mmp9, Il4ra, Itgam, Gm39321, Ly6g, Ceacam10, Retnlg, Fpr1, Cd177, Mmp8"
"174","Podocyte","Nphs2, Ddn, R3hdml, Nphs1, Hs3st6, Tdrd5, Tcf21, Gja3, Enpep, Sema3g"
"175","Posterior Intermediate Mesoderm","Osr1, Hoxc6, Wt1, Pax2, Pax8, Gm14226, Hoxd4, Gpc6, Eya1, Meis2"
"176","Posterior Roof Plate","Wnt1, Lmx1a, Wnt3a, Msx1, Pax3, Gm5089, Rfx4, Tmem132c, Fgf14, Zfhx4"
"177","Pre-Epidermal Keratinocyte","Tfap2b, Egfr, Gm13219, Kremen2, Wnt6, Trp63, Fermt1, Wnt3, Cldn6, Tfap2a"
"178","Pre-Osteoblast (Sp7+)","Dmp1, Alpl, Runx2, Panx3, Sp7, Slc13a5, Phospho1, Slc36a2, Adgrd1, Wif1"
"179","Precerebellar Neuron","Unc5b, Barhl2, Barhl1, Lhx1os, Lhx1, Adcyap1, Slc17a6, Gabrg2, Tmem145, Cntn2"
"180","Primitive Erythroid","Hba-a1, Hbb-y, Hba-x, Hsd3b6, Adra2b, Grap2, Epb42, Hbb-bh1, Redrum, 6030468B19Rik"
"181","Primordial Germ","Dppa3, Tbx14, Sycp1, Sycp2, Dppa4, Mael, Asz1, Ccdc172, 1700054O05Rik, Hormad1"
"182","Proepicardium","Upk1b, Lrrn4, Upk3b, Tbx18, Wt1, Gata4, Myrf, Bnc1, Sfrp5, Muc16"
"183","Proximal Tubule","Slc27a2, Lrp2, Slc6a18, Ugt2b37, Cyp4a31, Slc7a12, Gm13855, Slc7a13, Gm10283, Slc34a1"
"184","PV-Containing Retinal Ganglion","Isl1, Pou6f2, Pvalb, Ppp1r1c, Sncg, Clec18a, Asic3, Cpne6, Gm45341, Gm45323"
"185","Regulatory T","Foxp3, Cd3e, Il2ra, Cd3g, Gzma, Scart1, Rag1, Cd27, Slamf6, Il7r"
