"","Label","Markers"
"44","MUC13_DMBT1 positive cells","DMBT1, CEA, KRT20, MUC13, FER1L6, PHGR1, HNF4G, ABCC3, HNF4A, CDH17"
"45","Acinar cells","CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1"
"46","Metanephric cells","DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER"
"47","Ductal cells","IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B"
"48","Retinal pigment cells","TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL"
"49","Cardiomyocytes","TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1"
"50","Squamous epithelial cells","KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5"
"51","Goblet cells","CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G"
"52","Extravillous trophoblasts","FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2"
"53","ENS neurons","KCNQ5, EML5, ELAVL4, PHOX2B, MIR137HG, RP11-348J24.2, CNGB1, PRPH, FAM163A, NOS1"
"54","Visceral neurons","PRPH, SLC5A7, SLC18A3, PIRT, SST, RP11-466P24.7, CHRNA3, GAL, RGS4, PHOX2B"
"55","Ciliated epithelial cells","CDHR3, DNAH12, CAPS, TPPP3, LRRIQ1, C4orf22, STK33, DNAH9, AGBL4, RP11-56A10.1"
"56","Epicardial fat cells","C3, PRG4, CCDC80, SULF1, ITLN1, RP11-572C15.6, MSLN, CFH, AP000705.7, PLA2G2A"
"57","Parietal and chief cells","ESRRG, IGFBP5, FGD4, ATP4B, ATP4A, CLDN18, GIF, ARHGEF28, CLIC6, IGFBP2"
"58","Stellate cells","COL25A1, IGFBP3, ALB, NR1H4, HHIP, CCBE1, HGF, COLEC11, COLEC10, PTH1R"
"59","IGFBP1_DKK1 positive cells","LUM, IGFBP1, CD248, SCARA5, DKK1, APOD, GAS1, CHRDL1, SERPINE1, CFD"
"60","Bipolar cells","GRIK1, FSTL5, ZNF385B, ZNF804B, CA10, ZPBP, FAM19A4, VSX2, TRPC7, SLC1A7"
"61","Neuroendocrine cells","GRP, SEC11C, ASCL1, GHRL, TPH1, HEPACAM2, TFF3, MS4A8, LINC00261, DDC"
"62","PAEP_MECOM positive cells","PAEP, AC073218.2, C1orf186, CP, MUC16, RP11-98L5.2, RP11-510D19.1, DEFB1, AC104654.1, IGFBP1"
"63","Corneal and conjunctival epithelial cells","S100A9, LYPD2, LCN2, MUC4, SLPI, KRT4, CP, MUC16, CEACAM6, MUC15"
"64","Hematopoietic stem cells","MPO, ALB, RNF220, ITGA4, RP5-964N17.1, RUNX1, ANGPT1, ARHGAP15, IQGAP2, GPR141"
"65","CSH1_CSH2 positive cells","CGB, MAGEA10, CGA, INSL4, PAGE4, KISS1, XAGE3, PSG9, HSD3B1, KRT23"
"66","Lens fibre cells","CRYBB1, CRYAA, CRYBB2, CRYBA4, CRYBA1, CRYGC, BFSP1, LIM2, MIP, BFSP2"
"67","CCL19_CCL21 positive cells","CCL19, FDCSP, CCL21, PTGDS, C1S, TNFSF11, CXCL13, CXCL12, PRRX1, SLC22A3"
"68","Trophoblast giant cells","CSH1, PAPPA, ADAM12, CYP19A1, TFPI2, CSH2, CGA, PSG1, KISS1, FBLN1"
"69","SLC26A4_PAEP positive cells","SLC26A4, HSD3B2, RP11-328J2.1, LL0XNC01-16G2.1, BPIFB1, IL1A, MAP3K15, LINC00086, ASB4, NOV"
"70","AFP_ALB positive cells","FGB, AHSG, VTN, KNG1, ITIH2, APOA2, APOC3, FGG, FGA, APOB"
"71","Thymic epithelial cells","RP11-114G22.1, PRSS16, TBATA, FAM163A, AC005042.5, FOXN1, PAX1, MIR205HG, LY75, NEURL2"
"72","PDE11A_FAM19A2 positive cells","ADAMTS18, MEGF10, PDE11A, POU6F2, PTPRR, CHAT, RP11-689K5.3, KCNAB1, RELN, RORB"
"73","Antigen presenting cells","RAG1, CCL19, HLA-DRA, CD74, CLNK, HLA-DRB1, HLA-DPB1, BIRC3, WDFY4, CIITA"
"74","SATB2_LRRC7 positive cells","FOXG1, NEUROD2, CDK5R1, SATB2, RBFOX1, GRIN2B, NKAIN2, FABP7, ARPP21, POU3F2"
"75","ELF3_AGBL2 positive cells","PLN, MYL3, MYL2, MYL7, MYH7, TNNC1, MB, TNNI1, ACTC1, NPPA"
"76","CLC_IL5RA positive cells","CLC, MS4A3, IL5RA, MYL3, HAND1, PLN, HSPB7, TNNT2, MYL7, MYH7"
"77","PDE1C_ACSM3 positive cells","FOXI1, TFCP2L1, HEPACAM2, STAC2, ST14, CLNK, ATP6V0D2, BMPR1B, FOXA1, RASSF6"
